Fri Nov 16 05:17:54 +0000 2018,TRINKHALLE DBB. #photooftheday #photography #photographer #shotoniphone #huji #bier #bierkultur #beer #birra #prost #cheers #salute #doüberrascht #dortmund #bierhauptstadt #ruhrpott… https://www.instagram.com/p/BqOqwhYgnIc/?utm_source=ig_twitter_share&amp;igshid=1ilnrkxmj2yrk
Thu Nov 15 22:20:59 +0000 2018,"Wow, so ein Geschmackserlebnis hatte ich bei Bier noch nie! Wahnsinn, wie lecker das ist. Milkshake ist nicht übertrieben. Hammer Bier! - Drinking a Lemon Milkshake by @Heidenpeters @Delirium Café Köln —"
Wed Nov 14 19:48:10 +0000 2018,Mit diesem Bier tötet man sonst nur Schnecken #Stauder stauder_privatbrauerei #esse zeche_carl #zechecarl #lovebites @Zeche Carl https://www.instagram.com/p/BqLEwuOA704/?utm_source=ig_twitter_share&amp;igshid=10l1mma2qldg9
Wed Nov 14 18:00:58 +0000 2018,Drinking a Christkindlesmarkt Bier by Tucher Bräu @Hodges Wohnung — http://untp.beer/s/c675670489
Tue Nov 13 00:58:06 +0000 2018,Drinking a Grüner Vollbier Hell / Grünerla by Grüner Bier @In Kerpen — http://untp.beer/s/c675356661
Mon Nov 12 12:23:56 +0000 2018,"Krasses Gefühl, hier habe ich jahrelang auf meine Bahn gewartet und Abend mit Kollegen ein Bier getrunken hier hat sich nichts verändert @Maxdorf https://www.instagram.com/p/BqFHEBoAHz0/?utm_source=ig_twitter_share&amp;igshid=10e4i1x9oxz95"
Sun Nov 11 17:51:05 +0000 2018,Fortunafeeling in Wiesbaden #f95 #fortunadüsseldorf #füchschen #alt #bier #wiesbaden @Schlachthof Wiesbaden https://www.instagram.com/p/BqDI6epgL4b/?utm_source=ig_twitter_share&amp;igshid=gwnte4gfc0ud
Sun Nov 11 16:23:57 +0000 2018,#craftbeeramsonntag heute mal mit einem Bier aus #Spanien ! mit der #IPA Garage von @EspigaCervesa kriegt man ein richtiges Fruchtpaket gleich mit ! Man schmeckt Limetten und auch ein… https://www.instagram.com/p/BqC_AcHlcD1/?utm_source=ig_twitter_share&amp;igshid=198n341xc3e35
Sun Nov 11 13:32:50 +0000 2018,Es ist der 11.11 da muss der Sonntag auch mal Sonntag bleiben #alaaf #karneval #kölsch #siegburg #bier #sonntag #1111 #11november @Siegburg https://www.instagram.com/p/BqCrbDKAM4z/?utm_source=ig_twitter_share&amp;igshid=v1gtzyh4ergl
Sun Nov 11 09:03:15 +0000 2018,Herrengedeck. #photooftheday #photography #photographer #shotoniphone #drinks #drink #drinking #shots #bier #beer #birra #sambuca #mexicana #prost #cheers #salute #kneipe #pub #publife… https://www.instagram.com/p/BqCMikrAzf1/?utm_source=ig_twitter_share&amp;igshid=1s2nercjuyn4r
Sat Nov 10 21:06:53 +0000 2018,Ein HELLES auf‘s 3-2 • Lecker!! • #freunde #arco #beer #bvb #bioroastbeef #gelungenerabend #saturdaynight #schmeckt #helles #arcobräu #kannmanmachen #sieg #bvbfcb #friends #bier… https://www.instagram.com/p/BqA6lS3gdZi/?utm_source=ig_twitter_share&amp;igshid=k95yu4vn9a58
Sat Nov 10 20:29:13 +0000 2018,"Ein Bier aus München, um meine Nerven nach dem 3:2 des @BVB gegen den @fcbayern zu beruhigen. Was für ein Sieg! #bvbfcb - Drinking an Erdinger Schneeweiße by Erdinger Weissbräu @Home of Ostwestf4le —"
